CODGEO;LIBGEO;DENS;LIBDENS;PMUN13;P1;P2;P3;P4;P5;P6;P7
01099;Chazey-sur-Ain;6;Rural à habitat dispersé;1544;0,0;0,0;0,0;0,0;0,0;95,6;4,4
01100;Cheignieu-la-Balme;6;Rural à habitat dispersé;146;0,0;0,0;0,0;0,0;0,0;100,0;0,0
01101;Chevillard;6;Rural à habitat dispersé;159;0,0;0,0;0,0;0,0;0,0;83,8;16,3
01102;Chevroux;6;Rural à habitat dispersé;944;0,0;0,0;0,0;0,0;0,0;83,3;16,7
01103;Chevry;4;Ceintures urbaines;1396;0,0;0,0;0,0;93,3;0,0;4,2;2,6
01104;Chézery-Forens;6;Rural à habitat dispersé;461;0,0;0,0;0,0;0,0;0,0;62,0;38,0
01105;Civrieux;5;Bourgs ruraux;1441;0,0;0,0;0,0;0,0;70,0;18,0;12,0
01106;Cize;6;Rural à habitat dispersé;173;0,0;0,0;0,0;0,0;0,0;100,0;0,0
01107;Cleyzieu;6;Rural à habitat dispersé;136;0,0;0,0;0,0;0,0;0,0;81,8;18,2
01108;Coligny;6;Rural à habitat dispersé;1164;0,0;0,0;0,0;0,0;0,0;78,2;21,8
01109;Collonges;5;Bourgs ruraux;2104;0,0;0,0;0,0;0,0;96,1;0,0;3,9
01110;Colomieu;6;Rural à habitat dispersé;124;0,0;0,0;0,0;0,0;0,0;100,0;0,0
01111;Conand;7;Rural à habitat très dispersé;113;0,0;0,0;0,0;0,0;0,0;0,0;100,0
01112;Condamine;6;Rural à habitat dispersé;417;0,0;0,0;0,0;0,0;0,0;89,4;10,7
01113;Condeissiat;6;Rural à habitat dispersé;806;0,0;0,0;0,0;0,0;0,0;68,3;31,7
01114;Confort;6;Rural à habitat dispersé;556;0,0;0,0;0,0;0,0;0,0;89,7;10,3
01115;Confrançon;6;Rural à habitat dispersé;1321;0,0;0,0;0,0;0,0;0,0;86,0;14,0
01116;Contrevoz;6;Rural à habitat dispersé;518;0,0;0,0;0,0;0,0;0,0;70,2;29,8
01117;Conzieu;6;Rural à habitat dispersé;146;0,0;0,0;0,0;0,0;0,0;77,0;23,0
01118;Corbonod;6;Rural à habitat dispersé;1219;0,0;0,0;0,0;0,0;2,7;81,0;16,3
01119;Corcelles;6;Rural à habitat dispersé;227;0,0;0,0;0,0;0,0;0,0;83,0;17,0
01121;Corlier;6;Rural à habitat dispersé;116;0,0;0,0;0,0;0,0;0,0;75,4;24,6
01122;Cormaranche-en-Bugey;6;Rural à habitat dispersé;801;0,0;0,0;0,0;0,0;0,0;84,1;15,9
01123;Cormoranche-sur-Saône;6;Rural à habitat dispersé;1070;0,0;0,0;0,0;0,0;49,6;49,8;0,6
01124;Cormoz;6;Rural à habitat dispersé;668;0,0;0,0;0,0;0,0;0,0;55,4;44,6
01125;Corveissiat;6;Rural à habitat dispersé;617;0,0;0,0;0,0;0,0;0,0;74,8;25,2
